名称,区域,板块,房型,朝向,面积(平米),价格(元/月),单位面积价格(元/平米/月)
碧家国际社区,,,,,14.5,2430,167
保利丰花园,海珠,洪德,1室1厅,东,15.0,2400,160
逸景翠园,海珠,广州大道南,4居室,南卧,39.0,2793,71
国美电器楼上,海珠,新港西,2室1厅,西南,37.5,3600,96
魔方公寓,,,,,17.5,3100,177
南晖苑,海珠,工业大道中,2室1厅,南,27.5,1980,72
颖康阁,天河,员村,1室1厅,,17.5,2500,142
逸米公寓,,,,,14.0,1600,114
盈嘉花园,天河,珠江新城中,3居室,南卧,10.0,2100,210
美好居,天河,车陂,3居室,东卧,15.0,1711,114
白马花园,天河,员村,3室1厅,南,51.5,3300,64
华仔国际公寓,,,2室1厅,,20.0,2580,129
盈彩美居,天河,东圃,3室2厅,东北,54.0,5300,98
盛世国际物业,,,1室1厅,,17.5,2500,142
悦江上品苑,荔湾,大坦沙,3室2厅,西南,56.0,7000,125
珠岛花园,荔湾,大坦沙,4居室,北卧,43.0,1081,25
光复北路,荔湾,龙津,3室2厅,东南,40.0,3300,82
恒宝华庭,荔湾,西关,3居室,西卧,10.5,1428,136
芳村花园,荔湾,坑口,2室1厅,北,48.0,3000,62
城启十三行广场,荔湾,人民路,5居室,东卧,29.0,1606,55
元邦明月水岸,荔湾,西朗,3室2厅,西南,50.0,4500,90
花语水岸,荔湾,大坦沙,5居室,西南卧,32.0,1848,57
人民南路,荔湾,人民路,1室1厅,南,12.5,1900,152
葛洲坝保利曼城,荔湾,广钢新城,4居室,北卧,30.5,2026,66
万科海上传奇,荔湾,芳村,1室1厅,西北,21.5,2200,102
鉴寓公寓,,,,,17.5,2730,156
悦江上品苑,荔湾,大坦沙,3室2厅,,47.5,5500,115
鉴寓公寓,,,带健身房阅读室,,17.5,2980,170
金花小区,荔湾,西华路,3室1厅,南/北,82.0,3600,43
华逸锦轩,越秀,五羊新城,2室1厅,东,33.0,4800,145
雅景花园,越秀,水荫,4居室,南卧,9.5,2614,275
麓湖盛景,越秀,麓景,1室0厅,东,17.5,3200,182
miniG公寓,,,,,10.0,3500,350
西坑直街,越秀,沙河,4室2厅,东南,85.0,2500,29
miniG公寓,,,,,10.0,3300,330
都府小区,越秀,公园前,2室2厅,东南,32.0,4000,125
miniG公寓,,,,,10.0,2600,260
环市东路,越秀,黄花岗,1室1厅,南/北,12.5,1600,128
miniG公寓,,,,,10.0,2900,290
大沙头路,越秀,东湖,2室1厅,,22.5,1790,79
云嘉倚翠公寓,,,1室1厅,,15.0,5000,333
文德广场,越秀,越秀南,1室1厅,东,20.5,3800,185
云嘉倚翠公寓,,,1室1厅,,12.5,5500,440
富力东山新天地,越秀,五羊新城,2室1厅,东南,27.5,6000,218
广舟公寓,,,,,10.0,1300,130
时代天韵（黄埔）,黄埔,香雪,3室2厅,南,40.5,3300,81
佰合精选,,,1室1厅,,22.5,2980,132
金碧世纪花园,黄埔,大沙地,3室2厅,南,79.0,5500,69
广舟公寓,,,,,10.0,1150,115
广州绿地城,黄埔,知识城,2室2厅,东,21.0,2100,100
广舟公寓,,,,,10.0,1250,125
大塱罗北花园,黄埔,科学城,3室2厅,西南,60.0,4500,75
广舟公寓,,,,,10.0,1250,125
万科金色梦想,黄埔,香雪,3室2厅,北,38.5,2900,75
佰合精选,,,2室1厅,,25.0,3800,152
佳兆业未来城,黄埔,开发东区,3室2厅,东北,49.5,2600,52
佰合精选,,,1室1厅,,22.5,2980,132
合景天峻,黄埔,知识城,2室2厅,南,40.0,1800,45
五矿招商·鹭山府,黄埔,大沙地,3室1厅,北,44.0,5600,127
天鹿花园,黄埔,科学城,3室2厅,南/北,62.5,3500,56
广舟公寓,,,,,10.0,1200,120
中海誉城北苑,黄埔,香雪,1室1厅,南,28.0,2600,92
中海誉城北苑,黄埔,香雪,3室2厅,南,48.5,3300,68
黄埔万科中心,黄埔,文冲,2室1厅,南,17.5,2800,160
广舟公寓,,,,,10.0,1300,130
保利西子湾,白云,金沙洲,2室1厅,南,41.0,3800,92
海豚租赁,,,1室1厅,,13.0,1980,152
黄石花园,白云,黄石,3室2厅,东北,50.5,2800,55
星叶公寓,,,,,9.25,1475,159
富力桃园,白云,罗冲围,2室2厅,,37.5,4200,112
金地草莓社区,,,,,10.0,2200,220
景泰新村,白云,景泰,2室1厅,西南,35.0,2900,82
金地草莓社区,,,1室1厅,,12.5,1350,108
蓝天商贸园,白云,黄石,1室0厅,西南,15.0,1600,106
金地草莓社区,,,1室1厅,,12.5,1200,96
白云高尔夫花园东区,白云,黄石,2室2厅,西,36.0,3500,97
盛世国际物业,,,1室1厅,,27.5,3099,112
白云高尔夫花园西区,白云,黄石,2室1厅,南,30.5,2900,95
富力桃园,白云,罗冲围,3室1厅,西南,57.0,5200,91
广州大道北,白云,梅花园,1室1厅,,22.5,1900,84
盛世国际物业,,,1室1厅,,27.5,2650,96
岭南新世界,白云,嘉禾望岗,2室2厅,南,64.0,4200,65
金域蓝湾,白云,金沙洲,1室1厅,东南,23.0,2700,117
广园云苑新村,白云,景泰,2室1厅,北,27.0,3300,122
红林物业,,,1室1厅,,17.5,2480,141
仟玺公寓,,,清新舒适一居室/月租特价房/长租更优惠/无窗,,10.5,1288,122
鑫隆世家,番禺,石楼,3室2厅,南,49.0,2700,55
唯佳舒享公寓,,,1室1厅,,17.5,1700,97
社学东路,番禺,钟村,2室1厅,南,40.0,2300,57
唯佳舒享公寓,,,1室1厅,,15.0,1700,113
亚运城媒体村(南区),番禺,亚运城,2室1厅,北,38.5,2900,75
洛涛南区,番禺,洛溪,4居室,西北卧,44.5,1186,26
珠江花园,番禺,厦滘,4室2厅,西南,50.5,4500,89
亚运城运动员村二区,番禺,亚运城,4居室,南卧,20.5,1669,81
石碁城市花园,番禺,番禺客运站,1室1厅,西,58.0,2150,37
北丽园,番禺,市桥,4居室,北卧,19.5,1039,53
金海岸花园金石碧苑,番禺,番禺客运站,3室2厅,南,54.0,3600,66
东方白云花园,番禺,市桥北,3室2厅,西,46.0,2800,60
亚运城天誉,番禺,亚运城,3室2厅,东北,78.5,3300,42
龙湖冠寓,,,,,12.5,1450,116
亚运城天峯1区,番禺,亚运城,4室2厅,南,70.0,4200,60
保利大都汇,番禺,汉溪长隆,1室1厅,北,28.0,4000,142
康乐园,番禺,市桥,3室2厅,南,42.0,3200,76
塞纳河五星公寓,,,,,19.0,1798,94
东湖洲花园2区,番禺,番禺客运站,4室2厅,南,70.0,5000,71
铂顿元世纪,,,,,12.5,2080,166
琶洲新村,海珠,万胜围,4居室,南卧,7.5,2866,382
第二金碧花园,海珠,金碧,3室2厅,北,54.0,5500,101
穗龙花园,海珠,宝岗,2室1厅,西,30.0,2500,83
海珠半岛花园,海珠,滨江东,2室2厅,东南,75.5,4600,60
华仔国际公寓,,,1室1厅,,30.0,3380,112
保利天悦,海珠,万胜围,3室2厅,南,66.5,11500,172
滨江横路,海珠,滨江中,2室1厅,东南,64.0,2800,43
乐居苑,海珠,宝岗,2室1厅,东,22.5,2800,124
龙湖冠寓,,,,,17.5,2867,163
绿地越秀海玥,海珠,工业大道中,2室1厅,,21.0,2280,108
羊城青年社区,,,,,14.5,1750,120
新港西路,海珠,新港西,1室1厅,,22.5,2400,106
羊城青年社区,,,,,14.5,1750,120
海珠半岛花园,海珠,滨江东,3室2厅,,65.5,9000,137
魔方公寓,,,,,15.0,2030,135
双子星城,海珠,新港西,1室1厅,南,17.0,2600,152
羊城青年社区,,,,,13.75,1750,127
尚河居,天河,天河南,1室1厅,西,22.5,5000,222
美林海岸,天河,员村,4居室,南卧,32.0,2236,69
翠屏富通雅苑,天河,东圃,3室2厅,南/北,42.5,4300,101
寓见里,,,1室1厅,,16.5,3180,192
员村二横路11号大院,天河,员村,2室1厅,南,32.5,3000,92
华仔国际公寓,,,1室1厅,,20.0,3150,157
中兴花园,天河,东圃,2室1厅,西,37.0,4000,108
景晖苑(天河区),天河,天河客运站,3室2厅,南/北,50.0,3500,70
粤垦路红英街,天河,粤垦,2室1厅,南/北,30.0,2500,83
WowWay社区,,,,,12.5,2500,200
盈彩美居,天河,东圃,3室2厅,东北,46.5,4800,103
阳光假日园,天河,棠下,2室1厅,南/北,38.0,4500,118
华景新城芳满庭园,天河,华景新城,1室1厅,东,20.0,3500,175
盛世国际物业,,,,,15.0,2630,175
兰亭盛荟,天河,东圃,3室1厅,南,45.0,6000,133
租德公寓,,,4室2厅,,70.5,7888,111
兰亭盛荟,天河,东圃,4居室,东南卧,10.0,2500,250
佳遇社区,,,,,22.5,2140,95
法院小区,天河,东圃,3室2厅,东南,49.0,5200,106
佳寓,,,1室1厅,,25.0,2500,100
豪景花园,天河,沙河,4室2厅,北,61.0,5900,96
启丰公寓,,,3室1厅,,47.5,3000,63
多宝路,荔湾,西关,5室2厅,东南,90.0,8500,94
保利东郡,荔湾,广钢新城,2室2厅,东南,36.0,5000,138
鉴寓公寓,,,,,22.5,3880,172
珠岛花园,荔湾,大坦沙,3室1厅,西南,42.5,4000,94
逢源路,荔湾,龙津,3室1厅,西北,40.0,4300,107
葛洲坝保利曼城,荔湾,广钢新城,3室2厅,东北,76.0,5200,68
广州聚福公寓,,,1室1厅,,21.0,2500,119
珠岛花园,荔湾,大坦沙,2室1厅,东,50.0,3300,66
广州聚福公寓,,,,西门口,19.0,2880,151
麓湖路3号大院,越秀,小北,2室2厅,南,47.5,4600,96
淘金路,越秀,淘金,2室1厅,南,30.0,4800,160
红林物业,,,1室1厅,,22.5,3780,168
共和二路,越秀,杨箕,2室1厅,南/北,54.5,4000,73
恤孤院二横路,越秀,东山口,3室1厅,西/北,65.0,6200,95
润粤大厦,越秀,水荫,3室1厅,南,47.0,7700,163
红林物业,,,1室1厅,,17.5,2780,158
竹丝岗大马路,越秀,东风东,2室1厅,南,31.0,4800,154
嘉富广场,越秀,水荫,4居室,南卧,43.0,2236,52
锦林山庄,黄埔,科学城,2室2厅,南,46.0,4000,86
线坑花园,黄埔,科学城,4居室,东卧,8.0,1081,135
腾飞园中新里,黄埔,知识城,2室2厅,北,38.5,2600,67
华润置地·有巢公寓,,,1室1厅,,20.5,2565,125
绿地城凤语湾,黄埔,知识城,3室2厅,东南,60.0,2700,45
翰林枫舍,,,1室1厅,,17.5,2725,155
鱼珠湾海丝创新中心,黄埔,鱼珠,2室1厅,南,25.0,4100,164
南都物业,,,,,18.75,2080,110
明月金岸花园,白云,金沙洲,3室2厅,东南,51.5,4000,77
红林物业,,,1室1厅,,17.5,1680,96
富华花园,番禺,市桥,3室1厅,南,89.5,3600,40
顿号青年社区,,,1室1厅,,17.5,1350,77
富丽家园莲芳园,番禺,大石,2室1厅,北,31.0,2000,64
建方寓,,,,,15.0,1750,116
康裕北苑,番禺,市桥,3室2厅,东北,51.5,3800,73
城家公寓,,,有折扣二室一厅近地铁,,62.5,6200,99
富力广场A区,荔湾,中山八,3室2厅,东南,42.5,3800,89
广州聚福公寓,,,1室1厅,,19.0,2550,134
金融街融穗华府,荔湾,广钢新城,3室2厅,南,41.5,4800,115
百合白领公寓,,,1室1厅,,11.5,2088,181
环翠园,荔湾,南岸路,2室1厅,东南,26.0,2500,96
菁屋,,,1室1厅,,27.5,2538,92
东湖铭泰公馆,越秀,东湖,1室0厅,东,15.0,3000,200
朗诗寓,,,,,15.0,6155,410
翰雅明轩,越秀,农讲所,2室1厅,东/北,81.0,9800,120
珑遇,,,优雅一居室（可短租）,小北店,12.5,3200,256
海日苑,越秀,海珠广场,1居室,南卧,15.0,1700,113
珑遇,,,温馨一居室(可月租),小北店,9.0,2950,327
银通花园,白云,机场路,1室0厅,南,6.5,900,138
龙湖冠寓,,,,,13.75,1900,138
体育花园,白云,白云大道南,3室2厅,南,64.5,7300,113
魔方公寓,,,,,16.25,1430,88
绿地汇创国际,白云,太和,2室4厅,南,82.5,4600,55
安家宜青年社区,,,,,12.5,1900,152
锦尚蓬莱苑,花都,新区,3室2厅,北,46.5,3300,70
保利东江首府,增城,新塘南,3室2厅,南,68.0,3000,44
新都盛世名门,增城,白江,5居室,南卧,36.5,1396,38
崇和花园,增城,永宁,3室2厅,南,43.5,1500,34
群星新邨,增城,白江,4居室,东卧,12.5,1459,116
保利中航城花园一期,增城,朱村,3室2厅,东南,46.5,2400,51
红林物业,,,1室1厅,,14.0,1280,91
南沙保利南怡湾,南沙,黄阁,2室2厅,西北,37.5,2000,53
旗寓,,,,南沙店,9.0,900,100
南沙万地雅涛阁,南沙,万顷沙,3室2厅,东/北,54.5,2800,51
旗寓,,,,南沙店,17.5,999,57
碧桂园天玺湾,南沙,进港大道,3室2厅,北,51.0,1800,35
艾豪斯行政公寓,,,2室2厅,,33.0,6000,181
阳光城丽景湾,南沙,进港大道,3室2厅,南,51.5,2300,44
艾豪斯行政公寓,,,2室1厅,,33.0,2700,81
越秀滨海新城,南沙,进港大道,2室2厅,南,36.5,2200,60
艾豪斯行政公寓,,,2室1厅,,33.0,5000,151
越秀滨海隽城,南沙,金洲,3室2厅,南,76.5,2800,36
艾豪斯行政公寓,,,2室2厅,,33.0,2700,81
星河盛世,南沙,进港大道,2室2厅,南,39.0,2500,64
艾豪斯行政公寓,,,2室1厅,,33.0,5500,166
越秀滨海御城,南沙,金洲,3室2厅,东南,54.5,2900,53
丰庭花园,南沙,金洲,2室2厅,南,40.0,1900,47
时代天逸,南沙,黄阁,3室2厅,东南,44.0,2500,56
晟悦·云港国际公馆,,,1室1厅,,16.5,1500,90
中建·映花悦府,花都,铁路西,2室1厅,南,46.5,1700,36
晟悦·云港国际公馆,,,1室1厅,,19.0,3900,205
祈福万景峰,花都,铁路西,2室1厅,南,38.5,1900,49
晟悦·云港国际公馆,,,1室1厅,,17.5,2400,137
碧桂园星港国际,花都,新区,1室1厅,南,33.5,2000,59
晟悦·云港国际公馆,,,1室1厅,,17.5,2500,142
美林轩逸时光,花都,镜湖大道,3室2厅,南,51.5,2600,50
晟悦·云港国际公馆,,,1室1厅,,16.5,2100,127
古谷禾黄居,花都,新区,3室2厅,北,61.0,2650,43
东呈酒店集团,,,,,15.0,4800,320
天马丽苑二期,花都,铁路西,3室2厅,南,61.5,2100,34
东呈酒店集团,,,,,16.0,4800,300
都会雅苑,花都,旧区,2室2厅,南,34.0,2100,61
祈福天龙苑,花都,铁路西,2室2厅,南,30.0,1700,56
保利高尔夫郡水晶宫寓,花都,铁路西,1室1厅,南,23.0,1500,65
东呈酒店集团,,,,,16.0,4800,300
广州融创文旅城B3区,花都,花城街,3室2厅,南,45.5,2500,54
时代云港,花都,镜湖大道,2室1厅,东,18.5,1500,81
花都银丰大厦,花都,旧区,1室0厅,东北,27.5,1200,43
东呈酒店集团,,,,,16.0,4800,300
大华新村一巷,花都,旧区,3室2厅,南,40.0,1800,45
东呈酒店集团,,,,,25.0,11664,466
雅居乐锦城花漾集,花都,秀全街,3室2厅,北,47.5,2600,54
东呈酒店集团,,,,,30.0,4800,160
豪进山湖珺璟,增城,白江,3室2厅,,60.5,2800,46
红林物业,,,1室1厅,,14.0,1280,91
荔富廣場,增城,新塘北,2室2厅,东,38.0,1600,42
红林物业,,,1室1厅,,20.0,1500,75
西城路(增城区),增城,荔城中区,3室2厅,南,50.0,1000,20
红林物业,,,1室1厅,,22.5,1500,66
荔富廣場,增城,新塘北,4室2厅,南,62.5,2300,36
红林物业,,,1室1厅,,14.0,1280,91
惠百氏广场,增城,白江,1室1厅,东,19.5,1400,71
品秀星图,增城,新塘北,3室2厅,南,54.0,2500,46
力诚凯怡湾,增城,新塘南,1室1厅,南,19.5,1400,71
红林物业,,,1室1厅,,12.5,1280,102
中国铁建国际花园,增城,朱村,4室2厅,南/北,56.0,1900,33
金茂万科都会四季,增城,白江,3室2厅,南,44.5,2500,56
广发大厦,增城,新塘南,3室2厅,南,60.0,1900,31
红林物业,,,1室1厅,,14.0,1280,91
科慧花园,增城,朱村,4室2厅,南/北,59.0,2500,42
红林物业,,,1室1厅,,14.0,1280,91
东汇城国际公寓,增城,荔城中区,1室1厅,北,22.5,2200,97
北欧公寓,,,1室1厅,,17.5,1200,68
恒展江山时代花园,增城,朱村,2室2厅,南,40.0,1900,47
北欧公寓,,,1室1厅,,24.0,1580,65
创基天峰,增城,荔城西区,4室2厅,南,51.5,1600,31
北欧公寓,,,1室1厅,,17.5,1200,68
海上明月公寓,,,,南向,14.0,1080,77
逸涛雅苑,南沙,进港大道,4室2厅,南,115.0,6000,52
时代天逸,南沙,黄阁,3室2厅,东北,40.0,2700,67
南沙金茂湾,南沙,明珠湾,1室1厅,南,25.0,1800,72
梦田公寓,,,1室1厅,,22.5,700,31
南沙境界,南沙,黄阁,3室2厅,东南,50.0,2000,40
青巢公寓,,,,,12.5,950,76
中大城,南沙,金洲,2室2厅,南,25.0,1700,68
青巢公寓,,,,,12.5,950,76
中交蓝色海湾,南沙,南沙港,3室2厅,西北,48.0,3200,66
广州温馨公寓,,,1室1厅,,10.0,800,80
南沙金茂湾,南沙,明珠湾,1室1厅,南,22.5,2200,97
广州SOHO公寓,,,2室1厅,南沙,20.0,1200,60
雅居乐汇通广场,花都,秀全街,1室1厅,南,26.0,2500,96
东呈酒店集团,,,,,16.0,4800,300
富力金港城东区,花都,花东镇,3室2厅,南,49.0,2500,51
东呈酒店集团,,,,,16.0,4800,300
方圆明月山溪,从化,温泉镇,1室0厅,南,19.5,800,41
人盛巴厘天地,从化,神岗镇,2室2厅,,71.5,1200,16
东方夏湾拿,从化,太平镇,5室2厅,南,160.5,3500,21
景业荔都,从化,江浦街,2室2厅,北,44.0,800,18
珠江国际城,从化,神岗镇,3室2厅,东北,65.5,1500,22
中田东路,从化,新城片区,3室2厅,南,40.0,800,20
云星钱隆天誉,从化,太平镇,2室2厅,西北,34.5,1600,46
银农楼,从化,太平镇,2室2厅,南,68.5,800,11
珠江国际城,从化,神岗镇,4室2厅,南/北,72.0,2000,27
珠江国际城,从化,神岗镇,3室2厅,西南,42.5,1300,30
景业荔都,从化,江浦街,3室2厅,南,74.0,1500,20
富力泉天下,从化,温泉镇,1室0厅,南,22.0,1300,59
富力泉天下,从化,温泉镇,3室2厅,南,50.0,2200,44
紫泉翠荔嘉园,从化,太平镇,3室2厅,南,45.5,1750,38
富力泉天下,从化,温泉镇,1室0厅,东南,22.5,1000,44
方圆明月山溪,从化,温泉镇,1室1厅,南,24.0,800,33
富力泉天下,从化,温泉镇,7室2厅,东南,240.0,12000,50
银农楼,从化,太平镇,2室2厅,东南,53.5,800,14
富力泉天下,从化,温泉镇,1室0厅,南,22.5,800,35
华标荔苑,从化,太平镇,3室2厅,南,68.0,2800,41
人盛巴厘天地,从化,神岗镇,3室2厅,东南,42.0,1600,38
宏润天睿,从化,鳌头镇,2室2厅,南,49.5,1000,20
珠江国际城,从化,神岗镇,4室2厅,南,66.0,1800,27
珠江国际城,从化,神岗镇,3室2厅,西北,41.5,1500,36
人盛巴厘天地,从化,神岗镇,3室2厅,东南,60.5,2000,33
东方夏湾拿,从化,太平镇,4室3厅,南,139.0,8000,57
雅居乐小院流溪,从化,赤草,4室2厅,南,150.0,8900,59
珠江国际城,从化,神岗镇,4室2厅,南,111.5,1500,13
景业荔都,从化,江浦街,3室2厅,南,56.0,1200,21
珠江国际城,从化,神岗镇,3室2厅,东北,51.5,1900,36
豪景花园,天河,沙河,4室2厅,北,61.0,5900,96
兰亭盛荟,天河,东圃,3居室,西卧,47.5,1711,36
华景新城泽晖苑,天河,华景新城,3室1厅,东南,56.5,5200,92
魔方公寓,,,1室1厅,,12.5,1400,112
远洋天骄广场,天河,天河客运站,1室1厅,东南,25.5,3500,137
建华路(天河区),天河,天河公园,3居室,东卧,16.0,2600,162
侨源山庄,天河,粤垦,2室1厅,南,39.0,3700,94
金融街融穗华府,荔湾,广钢新城,3室2厅,南,41.5,4800,115
百合白领公寓,,,1室1厅,,11.5,2088,181
珠岛花园,荔湾,大坦沙,3室1厅,南,31.5,3800,120
本地房东,,,,,12.5,1580,126
中海锦御华庭,荔湾,广钢新城,4室1厅,东南,70.0,7300,104
菁屋,,,1室1厅,,27.5,2538,92
杨巷路,荔湾,人民路,3室2厅,北,47.5,4800,101
魔方公寓,,,,,16.5,2380,144
翰雅明轩,越秀,农讲所,2室1厅,东/北,81.0,9800,120
东呈集团,,,,,10.0,10301,1030
海日苑,越秀,海珠广场,1居室,南卧,15.0,1700,113
东呈集团,,,1室1厅,,10.0,6000,600
东风东路,越秀,东风东,1室0厅,东南,15.0,2580,172
东呈集团,,,,,16.0,14525,907
富力御龙庭,越秀,淘金,3室2厅,南,56.5,7500,132
栖窝公寓,,,,,22.5,2980,132
鱼珠湾海丝创新中心,黄埔,鱼珠,2室1厅,南,25.0,4100,164
南都物业,,,,,18.75,2380,126
乙烯大院,黄埔,黄埔区府,3室2厅,南/北,48.5,3200,65
未来社区,,,1室1厅,,30.0,3430,114
中海誉城南苑,黄埔,香雪,2室1厅,北,39.5,3200,81
红林物业,,,,,25.0,1680,67
中海誉城北苑,黄埔,香雪,3室2厅,西南,46.5,3100,66
蓝色康园,海珠,滨江东,2室2厅,北,34.0,4500,132
海珠湖青年社区,,,1室1厅,,17.5,2600,148
金丰花园,海珠,赤岗,3室1厅,东南,45.0,4800,106
简一公寓,,,1室1厅,,15.0,2700,180
泓景花园,海珠,赤岗,0室0厅,东,6.0,1200,200
魔方公寓,,,,,17.5,2080,118
银通花园,白云,机场路,1室0厅,南,6.5,900,138
金地草莓社区,,,1室1厅,,12.5,1350,108
绿地汇创国际,白云,太和,2室4厅,南,82.5,4600,55
金地草莓社区,,,1室1厅,,12.5,1200,96
金名都,南海,金沙洲,3室2厅,西南,43.0,3000,69
金地草莓社区,,,,,12.5,1099,87
尚东尚筑,番禺,番禺客运站,2室2厅,北,83.0,4000,48
魔方公寓,,,2室1厅,,12.5,1820,145
华南碧桂园翠山蓝天苑,番禺,华南碧桂园,1室0厅,西南,31.5,500,15
塞纳河公寓,,,2室1厅,,34.0,2998,88
义比利公寓,,,1室1厅,,22.5,1599,71
一处春大厦,天河,沙河,2室1厅,东南,45.5,4000,87
蝌蚪公寓,,,,,23.5,3946,167
华景新城泽晖苑,天河,华景新城,2室2厅,东,40.0,3800,95
燕塘公寓,,,1室1厅,,21.0,2800,133
喜洋居,天河,华景新城,4居室,南卧,10.0,1880,188
五线谱公寓,,,,,14.0,1640,117
银燕大厦,天河,燕塘,5室2厅,东南,128.5,12500,97
博雅轩,天河,林和,1居室,南卧,10.0,2000,200
天誉花园,天河,林和,3室2厅,北,56.0,7600,135
佳遇社区,,,,,12.5,1600,128
昌乐园,天河,员村,3室2厅,南,47.0,4500,95
民政局大院,天河,水荫,4室1厅,南,50.5,4200,83
凯德天河新作新园,天河,体育中心,3室2厅,南,64.5,13500,209
伊房公寓,,,,,4.0,650,162
佳润临江上品,天河,员村,1室1厅,北,35.0,6000,171
租德公寓,,,4室2厅,,70.5,6999,99
盈彩美居,天河,东圃,3室2厅,西北,43.0,4500,104
华贵路,荔湾,龙津,3居室,东南卧,8.5,1100,129
魔方公寓,,,,,16.0,2400,150
元邦明月水岸,荔湾,西朗,3室2厅,东南,64.5,5800,89
菁屋,,,1室2厅,,35.5,2688,75
悦江上品苑,荔湾,大坦沙,3室2厅,西南,52.5,5300,100
建方寓,,,温馨榻榻米一居室,,14.0,1900,135
保利东郡二期,荔湾,广钢新城,3室2厅,南,63.5,7000,110
中海学仕里,荔湾,东塱,3室2厅,东南,37.5,6200,165
恒荔湾畔,荔湾,芳村,3室1厅,东,59.0,6000,101
华仔国际公寓,,,1室1厅,,20.0,2180,109
保利西悦湾,荔湾,坑口,3室2厅,,60.5,4700,77
周门小区周门西街,荔湾,周门,3室2厅,东南,37.0,4900,132
金兰苑,荔湾,汾水,2室2厅,南,44.0,3000,68
怡居.,,,1室1厅,,19.0,2880,151
保利和光晨樾,荔湾,广钢新城,4室2厅,东南,62.5,7000,112
晨熙生活公寓,,,,,63.75,2025,31
保利葛洲坝海德公馆,荔湾,广钢新城,4室2厅,东南,110.5,8000,72
魔方公寓,,,【淘房春节免费住】精致典雅一居室,,15.0,2380,158
壹诚大厦,荔湾,东塱,1室1厅,,14.0,1600,114
建方寓,,,,,17.5,2000,114
御东雅苑,越秀,盘福,2室1厅,西,21.5,6800,316
YOU+社区,,,1室1厅,,19.0,3553,187
竹丝岗大马路,越秀,东风东,3室1厅,,45.0,5500,122
金地草莓社区,,,1室1厅,,17.5,3640,208
广卫路,越秀,公园前,2室2厅,东南,57.0,6800,119
YOU+社区,,,1室1厅,,12.5,2704,216
盘福路,越秀,盘福,3室1厅,西,40.0,3600,90
恒福路,越秀,淘金,3居室,南卧,12.5,2000,160
水荫路,越秀,水荫,2室2厅,北,66.5,5700,85
德遇238公寓,,,1室1厅,,15.0,2550,170
红林物业,,,,,22.5,1680,74
悦时代花园心悦湾,黄埔,文冲,3室2厅,东北,48.0,4200,87
华仔国际公寓,,,3室2厅,,60.0,4280,71
